price,district,rooms,floor,floors,area,type,cond,walls,desc
95000.0,Malinovsky,3,10,10.0,100.0,New ,Renovation,Brick,"Fully renovated, built-in kitchen, appliances, furniture. Closed guarded territory, where the open parking is located, the entrance to the territory through the barrier. There is a fenced playground in the yard. Installed cameras for external and internal surveillance. At the entrance there is a public wheelchair, a ramp. Near supermarket, markets, schools, kindergartens, "
55000.0,Kievsky,2,5,14.0,76.0,New ,After builders,Brick,"A new house made of red brick, located in a protected area in a quiet and cozy place far from the roadway. On the territory there is an underground parking, a ground parking, a playground, a fenced area. A few minutes from the house there are schools, a supermarket, a clinic and a kindergarten "
85000.0,Primorsky,3,7,16.0,77.0,New ,Renovation,Brick,"Fully renovated, built-in kitchen, appliances, furniture. "
35000.0,Kievsky,1,11,15.0,40.0,New ,Renovation,Monolith,LCD Raduzhny-2. Renovation
61000.0,Kievsky,4,3,10.0,78.0,Czech,After makeup,Brick,"Apartment in a brick cooperative house, after make-up, built-in kitchen, 3 air conditioners, MGO, modern cladding. Clean front door. The apartment is bright and comfortable. Nearby developed infrastructure .. "
33000.0,Suvorovsky,2,1,12.0,54.0,Special project,After makeup,Panel,"District of the Regional Hospital. The house is located in a very good location: near the Crimean Boulevard and the City Center, a market, transport stops. The apartment is spacious, two-sided, in a clean living condition: 2 separate rooms, 2 large balconies, a kitchen, a separate bathroom. Clean front door on the intercom, renovation in the front door, well-groomed adjoining territory. "
62000.0,Malinovsky,3,1,10.0,63.0,Special project,Renovation,Panel,"Fully renovated, built-in kitchen, appliances, a loggia from the kitchen opened, modern cladding, a basement, a place for a car. "
35000.0,Primorsky,2,2,5.0,47.0,Khrushchevka,Residential clean,Brick,"Apartment on the 2nd floor. 4th Art. B. Fontana, bright, glazed balcony, mpo, living condition. "
60000.0,Kievsky,2,2,24.0,95.0,New ,After builders,Brick,"RC ""Fountain"". Brick house, "
84000.0,Malinovsky,3,10,10.0,106.0,New ,After overhaul,Brick,"After overhaul, built-in kitchen, appliances, air conditioning. "
59500.0,Primorsky,1,3,24.0,38.0,New ,Renovation,Monolith,"45 pearl. Side sea view. Good renovation in light colors. Closed area, sports ground, playground, school. "
55000.0,Kievsky,3,7,10.0,80.0,Special project,Residential clean,Brick,"Brick house. Living condition, bathroom and kitchen for renovation, partly MPO. Landscaped courtyard, front door on the code. "
23000.0,Malinovsky,2,1,2.0,50.0,Special project,Residential clean,Shell rock,"The apartment is on 2 levels, built-in kitchen, appliances, furniture. "
70000.0,Primorsky,2,9,16.0,60.0,New ,Renovation,Monolith,"House built in 2006, the company ""Consol"", renovation, built-in kitchen, air conditioning, furniture, appliances, heated floors. "
45000.0,Malinovsky,2,9,10.0,53.0,New ,After overhaul,Brick,"New rented house in a youth area. After overhaul, MPO, modern cladding, air conditioning, built-in kitchen, wardrobe. "
35000.0,Suvorovsky,2,6,14.0,52.0,Special project,After makeup,Brick,
47000.0,Primorsky,3,5,5.0,55.0,Khrushchevka,After overhaul,Brick,"Overhaul, built-in kitchen, appliances, furniture, modern cladding. "
49500.0,Primorsky,2,4,18.0,57.0,New ,After builders,Brick,"Residential complex Acapulco 2, HOUSE RENT! assignment at the expense of the seller! "
37000.0,Suvorovsky,3,7,9.0,64.0,Czech,After overhaul,Panel,"3-room apartment in Marselskaya district, on the 7th floor of a 9-storey building, the apartment has been renovated, the bathroom has modern tiles, the balcony from the kitchen is glazed, the loggia is insulated and glazed, there is a gas and water meter, a clean front door, a heat meter is installed on the house "
118000.0,Malinovsky,3,11,12.0,115.0,New ,Renovation,Brick,"The apartment is in a brick house ""Zolotaya Rybka"", three-sided, 2 balconies + loggia, insulated along the facade, warm water floors, two bathrooms, a heat meter, laminate flooring, Spanish tiles. Nice bonus, two equipped storage rooms, an additional room of 20m2 in the kitchen (possibility of expansion by 85m2) "
61000.0,Suvorovsky,2,5,10.0,71.0,Special project,Renovation,Brick,One bedroom apartment with modern renovation. Equipped with built-in furniture and appliances. There is a dressing room. The house is located in the second row from the road.
36500.0,Kievsky,1,11,14.0,38.0,Special project,Renovation,Monolith,"Apartment in a special project in the center of Tairov. Renovation, furniture and appliances included in the price. All well-developed infrastructure. "
19000.0,Suvorovsky,1,4,9.0,30.0,Guest,After makeup,Panel,"One-room apartment in a residential condition. Big room. The house has a new elevator. Walking distance to school, kindergarten, park. "
39900.0,Primorsky,2,1,2.0,41.0,Old fund,Renovation,Shell rock,The apartment has been overhauled with the replacement of all communications. Individual gas heating will help save on utility bills in the winter. Clean well-kept courtyard with nice friendly neighbors. Your entrance can be offered as a quiet office.
58500.0,Kievsky,1,5,19.0,54.0,New ,After builders,Monolith,"Residential complex Corfu, 10 station of the Big Fountain .. An excellent option for life by the sea. Business class real estate. Excellent quality of construction using high quality technologies of the European level. Closed guarded territory, video surveillance. Underground parking. Windows to the sea. The house is located in a park by the sea. Delivery - 3 quarter 2020 "
102000.0,Primorsky,2,7,24.0,72.0,New ,Renovation,Brick,LCD Orange. The apartment is stylishly renovated in light colors. Everything remains in the apartment. The price includes 2 storage rooms per floor. PARKING (boxing) +30000. The windows face South-West and North (three-sided).
80000.0,Primorsky,2,4,4.0,51.0,Old fund,Renovation,Shell rock,"Apartment with designer renovation in the loft style. A spacious kitchen-studio with a sofa bed and a bar, a cozy bedroom, two dressing rooms, a bathroom. Fully equipped with all new appliances and furniture, new heating system installed. The roof and all communications have been replaced. The walls are covered with decorative plaster. Open balcony. Windows overlook the courtyard. "
22500.0,Suvorovsky,1,1,5.0,32.0,Khrushchevka,Residential clean,Block-brick,"One-room apartment in good living condition. Stretch ceilings, the bathroom is tiled. The house is located in the second row from the road. Convenient transport interchange. "
43000.0,Kievsky,2,3,9.0,50.0,Czech,Residential clean,Brick,"Cooperative house, residential condition "
32500.0,Suvorovsky,3,4,9.0,64.0,Czech,Need. in cap. renovation,Panel,Apartment with separate rooms. For renovation. The house is located in the second row from the road. School is within walking distance. Kindergarten. a park.
59000.0,Primorsky,1,3,25.0,40.0,New ,Renovation,Monolith,"Very beautiful, bright apartment in a pearl town near the sea. Near Arcadia, Health Path. Sea view from both sides + green courtyard with fountains. Near the green park Yunost. There is a possibility of hiking to the sea. In the yard there are green spaces and beautiful fountains. "
42000.0,Kievsky,1,6,16.0,42.0,New ,Renovation,Brick,"New house, 1-room apartment with an area of 42m, High-quality repair, heated floors., Spacious dressing room. Windows to the courtyard, direct sea view, glazed loggia. Sold with furniture and appliances. "
18500.0,Suvorovsky,1,4,5.0,32.0,Special project,After makeup,Block-brick,"The apartment is in good condition, the price includes furniture and appliances. Urgent sale! "
17500.0,Suvorovsky,1,4,5.0,31.0,Special project,After overhaul,Block-brick,"2 room apartment redesigned into full-fledged two one-room apartments. 21 + 1 General 60 1st apartment Excellent condition Room 16m, kitchen 6.5, separate bathroom and tiled. Boiler, air conditioning, fitted kitchen. 2nd apartment Excellent condition. Rooms are 14 m. Kitchen 9m.s / u combined, facing, boiler. Remains the kitchen. A veranda is attached. Own barbecue area. Place for a car. "
46000.0,Kievsky,3,9,9.0,59.0,Kharkiv,After overhaul,Brick,"Overhaul 90%. igos windows, parquet on the floor, suspended ceilings, air conditioner, boiler, external insulation of the apartment. The roof was repaired, a heat meter was installed on the house, a new elevator, a cooperative house, "
39500.0,Kievsky,2,13,19.0,61.0,New ,After builders,Monolith,"56 pearl. The apartment is located on the 13th floor with a sea view, southeast side, a luxurious bright apartment with a very beautiful view! "
23000.0,Suvorovsky,1,1,5.0,32.0,Khrushchevka,Residential clean,Block-brick,The apartment is in a residential condition. The balcony is glazed. Good location of the house. Convenient transport interchange.
